"nacimiento","genero","industria","sector","nucleo","em_fom_remoto","em_fom_camb_remoto","t_dez_remoto","t_casa","t_familia","t_remoto_3meses","t_pref_remoto_3meses","h_trabajo_remoto"
"1985","2","8","27","2","2","2","1.5","2","2","0.9","0.9","8.5"
"1975","1","5","37","2","1","2","0","3","5","0.2","0.2","8"
"1993","2","19","22","2","3","2","2","0","20","0.2","0.3","2"
"1976","1","10","28","1","1","1","0","3","3","0.8","0.8","10"
"1978","1","14","31","7","5","4","0","2","6.5","1","1","7.5"
"1985","2","9","32","1","5","5","0.5","3","5.5","0.6","0.9","8"
"1982","1","18","20","2","2","1","0","1.5","6.5","1","1","6"
"1991","2","14","26","7","1","1","0","2","6","0","0","7"
"1977","1","9","31","1","2","2","0","3","4","1","0.2","9"
"1990","2","13","2","1","2","4","0","4","3","1","1","7"
"1985","1","10","22","6","3","2","2","3","4","0.3","0.3","10"
"1991","1","2","34","7","3","3","1","3","4","0.4","1","8"
"1957","2","9","30","7","2","4","1","0","7","0.2","0","8"
"1983","1","19","25","1","1","1","1","3","3","0.2","0.3","7"
"1975","2","13","15","5","1","1","1","4.5","4.5","1","1","7"
"1963","2","15","6","2","1","1","0","5","4","1","1","8"
"1993","2","6","29","7","5","5","0","2","4","0","0","12"
"1988","1","17","22","3","1","5","0","3","6","1","1","7"
"1977","2","4","26","1","4","1","0","4","4","1","1","8"
"1968","1","6","29","3","5","5","0","7","2","0","1","7"
"1983","1","8","27","1","3","3","1","4","5","0.9","1","7"
"1984","2","6","2","1","4","4","1","2","5","0.9","0.9","8"
"1961","1","15","42","1","1","2","7","5","3","0","0.05","1"
"1985","1","18","27","1","2","2","2","4","2","0.5","0.6","8"
"1991","2","10","2","1","3","1","0","3","3","1","1","10"
"1989","2","6","29","3","5","3","0.5","3","5","0.8","1","7"
"1992","2","4","26","7","1","1","4","1","4","0.4","0.5","5"
"1957","2","9","6","7","1","2","0.5","2","6.5","0.9","0.9","8"
"1966","2","13","30","5","5","5","4","2","2","0.05","0.2","12"
"1981","2","10","27","1","1","2","0.5","2","4.5","1","1","9"
"1981","2","10","31","7","3","3","0.5","3.5","5","0.1","0.05","8"
"1969","1","6","29","1","5","5","0","4","5","0","0.2","7"
"1973","2","4","6","2","1","1","1","4","4","0","0","7"
"1989","2","14","27","2","2","2","0","3","3","1","1","8"
"1977","1","9","31","1","2","2","0","3","4","0.8","0.6","9"
"1971","2","7","22","1","1","1","1","5","5","0.9","0.8","9"
"1980","2","10","31","3","2","2","2","2","2","0","0.8","10"
"1962","2","18","31","7","3","2","0","2","5","0.8","0.8","9"
"1977","2","11","39","1","1","1","0","2","6","0.5","0.5","8"
"1974","2","2","27","1","1","1","1","4","4","0.5","0.5","9"
"1995","2","13","27","2","1","2","0","4","5","0.2","0.5","7"
"1977","2","9","1","2","3","3","1.5","3.5","3","0.2","0","8"
"1985","1","14","25","1","4","2","0.5","3","4","0.8","0.9","9"
"1959","1","14","25","1","4","4","1","4","4","1","1","8"
"1981","1","2","32","5","3","3","0","4","2","0.1","0.05","12"
"1990","2","10","34","1","2","2","0","4","4","0.4","0.4","6"
"1978","1","15","31","1","3","2","0.5","4","5","1","1","7.5"
"1989","2","8","2","2","2","2","0","2","5","1","1","9"
"1965","2","8","4","2","1","2","0.5","4","4","1","1","9"
"1964","2","8","1","1","1","2","0","4","4","0.05","0.1","8"
"1978","1","8","27","1","4","2","1","5","7","1","0.5","4"
"2000","1","10","39","3","3","5","0","5","3","0.4","1","8"
"1992","2","2","5","2","3","2","1","2","5","1","1","8"
"1989","2","6","29","1","1","2","1","4","6","0.8","0.9","6"
"1988","1","15","2","1","3","3","1","1","2","0.05","0.5","12"
"1994","2","15","27","1","1","1","0.5","7","1.5","0.5","0.5","7"
"1981","2","11","41","1","1","2","0","2","5","0.1","0","9"
"1977","2","9","3","2","3","3","1","5","2","0.2","0.2","8"
"1986","2","17","34","1","2","3","3","4","3","0.5","0","8"
"1981","2","13","31","2","1","2","0.5","0","8.5","0.9","1","8"
"1997","2","14","28","3","3","1","0.5","5","2.5","0.3","0.5","7"
"1999","2","11","27","7","1","1","0","6","1","0.4","0.4","9"
"1973","2","8","2","1","4","4","0","3","4","1","1","10"
"1983","2","8","35","7","5","5","1","1","2","0.4","1","10"
"1993","2","8","34","7","3","2","0","4","4","1","0.5","8"
"1995","2","8","2","7","2","2","1","3","4","1","1","8"
"1960","1","6","29","5","1","1","4","5","5","0.5","0.5","5"
"1988","1","15","6","7","3","3","4","1","1","0.1","0.6","13"
"1999","2","11","25","7","1","1","0","5","1","0.4","0.4","10"
"1992","2","19","5","2","3","3","0","2","6","0.2","0.2","8"
"1993","2","6","29","7","5","5","3","3","2","0","0","8"
"1984","2","14","39","7","2","1","0.5","1.5","4","0.1","0.1","8"
"1986","2","8","25","6","4","5","0","4","3","1","1","8"
"1960","2","18","6","2","2","2","2","3","4","0.4","0.5","8"
"1978","1","8","27","1","2","2","2","2","4","1","0.5","9"
"1992","2","6","29","3","3","4","0.5","1","8.5","0","0.05","7"
"2002","1","10","31","3","3","4","0","2","6","0.7","0.3","8"
"1995","2","17","8","1","2","4","1","3","1","0.2","0.2","9"
"1963","2","9","27","7","5","3","0","3","5","0","0.3","9"
"1960","1","8","31","7","3","4","0.5","2","3.5","1","1","10"
"1994","1","10","27","7","2","2","0.5","2.5","3","0.6","0.6","12"
"1995","2","8","27","4","1","3","0.5","2","6","1","1","7.5"
"1985","1","13","2","2","1","1","0","3","7","0.5","0.9","7"
"1985","1","8","27","2","5","1","0","3","3","1","0.5","10"
"1972","1","14","31","1","1","1","0.5","1","7","0.05","0.05","7.5"
"1975","1","9","6","1","2","3","2","6","1","0.05","0.05","7"
"1957","1","14","28","2","3","1","0","1.5","5.5","1","1","10"
"1968","2","8","2","2","3","3","0.5","2","7.5","0.05","0.05","8"
"1961","2","13","27","6","1","1","0","3","6","1","1","8"
"1961","1","19","25","2","5","5","0","0","6","0","0","10"
"1958","1","13","30","2","1","2","0","2","4","0.5","0.5","10"
"1990","1","8","27","6","2","4","0.5","1.5","6","1","0.5","9.5"
"1983","2","14","32","7","3","3","0","3","3","0.5","0.6","10"
"1961","1","7","28","1","1","1","0","2","5","0.9","0.9","9"
"1986","1","19","34","7","1","1","0","2","4","0","0.1","10"
"1964","2","9","9","4","3","3","0","0","8","0","0.1","8"
"1992","2","8","25","2","3","3","0.5","2","4.5","0.9","0.5","9"
"1990","1","14","28","2","1","1","0.5","0","7","1","1","8"
"1989","2","4","26","2","3","2","0.5","2.5","6","0.8","0.9","8"
"1963","2","8","35","7","2","2","0","4","4","0.3","0.4","8"
"1961","1","10","27","2","3","3","0","1","4","1","1","9"
"1997","2","14","29","2","5","4","0.5","2.5","4.5","0.2","0.2","8.5"
"2000","2","2","6","1","1","2","0.5","2","6","0","1","7.5"
"1964","2","9","9","6","5","5","0.5","2","3","0.7","1","10"
"1962","1","10","26","1","1","1","1","4","8","0.8","0.8","4"
"1971","2","9","31","5","1","2","0","6","4","0.2","0.2","8"
"1987","2","4","6","6","5","5","0","4","4","0.5","1","8"
"1959","1","6","29","1","1","1","0.5","1.5","8","1","1","7"
"1964","1","15","28","1","2","2","0","6","4","1","1","7"
"1958","1","13","36","2","1","1","0.5","3","5.5","1","1","8"
"1962","2","6","29","7","3","1","1","1","6","0.6","0.3","10"
"1966","1","18","27","2","2","2","0.25","1","6","0.6","0.6","8.75"
"1997","1","13","28","7","3","2","1.5","1","6","0.8","0.8","7.5"
"1961","1","4","26","7","1","1","0","3","3","0.05","0","10"
"1969","1","15","11","2","1","1","1","4","4","0.05","0.5","8"
"1974","2","8","2","7","5","5","0.5","1","7.5","0.1","1","8"
"1958","2","6","29","2","3","1","0","2.5","10","0.5","0.05","3"
"1976","1","10","28","2","1","2","0","2","4","0.9","1","10"
"1983","2","13","27","1","4","4","0","3","2","1","1","10"
"2000","2","6","26","4","5","5","2","2","5","0.3","0","6"
"1972","2","8","27","4","4","4","1","4","2","0.8","0.2","10"
"1979","2","9","30","1","1","1","1","6","2","0.05","0","8"
"1989","1","8","27","7","1","1","0","7","2","0.8","0.7","7.5"
"1967","2","19","25","2","2","4","0","3","3","0.2","0.2","8"
"1963","2","5","2","1","4","4","0","4","4","0.3","0.3","8"
"1957","1","19","34","2","4","1","1","2","4","1","1","10"
"2000","2","2","27","6","1","1","1","0","7","0.5","0.5","7"
"1994","1","15","2","7","3","1","2","2","4","0.5","0.6","12"
"2002","2","1","2","1","5","1","1","3","4","0.05","0.5","7"
"1997","1","8","27","7","2","2","0","4","4","0.8","0.8","8"
"1994","2","13","29","7","1","1","2","3","3","0.1","0.2","8"
"1976","1","14","27","2","1","1","0.5","0","7.5","0.6","0.5","8"
"1985","2","8","1","1","1","1","0.5","3","3.5","0.9","0.9","8"
"1968","1","15","2","2","1","1","3","5","2","0.05","0.05","7"
"1992","1","6","29","3","4","4","0","2","2","0.3","0","12"
"1986","1","9","30","1","2","2","0","4","4","1","0.6","8"
"1985","1","16","6","2","3","1","1","2","4.5","0.5","0","8.5"
"1971","2","16","25","2","5","5","0.5","1","8.5","0","0","5"
"1960","1","2","5","1","4","1","0","4","6","0.5","0.5","4"
"1997","1","10","27","2","5","5","0","2","6","1","1","8"
"1981","2","17","25","1","1","1","0","4","2","1","1","10"
"1957","1","8","34","2","4","4","0.5","4","3","1","1","7.5"
"1960","1","6","25","2","3","1","0","2","5","0.5","0.5","9"
"1960","1","6","29","7","5","5","0","4","4","0.1","0","8"
"1963","2","2","27","7","5","5","0.5","2.5","3","0.5","0.5","9"
"1973","1","6","25","1","5","5","5","2","1","0","0","10"
"1961","1","8","28","2","2","5","0","1","7","1","1","8"
"1972","1","10","31","1","5","5","0","2","7","1","1","8"
"1993","1","2","7","2","1","2","0.5","1","2.5","0.7","0.9","12"
"1983","2","19","27","6","4","2","6","2","5","0.6","0.7","3"
"1981","1","14","34","1","4","4","0","2","6","1","1","9"
"1965","1","14","28","2","1","1","1","1.5","5.5","1","0.9","8"
"1981","1","18","27","2","3","2","1","1","4","0.9","1","9"
"1963","2","10","25","1","3","1","0","3","2","0.8","1","11"
"1973","1","10","34","1","4","1","0","2","5","0.7","0.5","7"
"1976","2","13","27","3","5","3","0.5","4","4","0.5","0.2","7.5"
"1996","2","8","30","7","1","2","1","2","5","0.9","1","8"
"1993","2","14","28","2","3","3","0.5","2","4","0.6","0.6","9"
"1970","1","14","31","6","1","1","0","2","6","1","1","8"
"1958","1","11","18","2","1","1","2","2","0","0.05","0.05","12"
"1998","2","13","35","1","2","2","1","5","5","0.1","0.2","5"
"1973","1","15","32","7","3","1","0.5","1","6.5","0.5","0","8"
"1993","2","4","26","3","3","2","5","3","3","0.8","0","10"
"1983","2","13","6","2","5","5","0","2","6","0","1","8"
"1977","1","10","39","7","3","1","0.5","0","7.5","0.2","0.2","8"
"1982","2","15","26","5","3","3","0","4","5","0.6","0.7","7"
"1989","1","13","34","2","1","1","0","0","7","0.9","1","8"
"1992","2","17","2","7","5","5","0.5","1.5","6","0.8","1","8"
"1957","2","6","29","2","5","5","3","4","4","0.05","0","7"
"1963","2","14","7","1","2","2","2","3","2","1","1","10"
"1974","1","19","28","1","2","2","0","4","3","0.1","0.05","8"
"1961","1","14","29","2","2","2","0","3","5","1","1","8"
"1996","1","17","33","1","5","5","0.5","2.5","4","0","0.9","9"
"1970","2","8","27","2","3","2","0.3","3","4.69","1","1","8"
"1973","2","18","28","4","2","2","0.5","4","4","1","1","7.5"
"1967","1","8","6","7","1","1","1","1","6","1","1","8"
"1967","2","13","32","1","2","1","0","1.5","6.5","1","1","8"
"1957","1","4","1","2","4","5","0.5","2","3","1","1","11"
